boundary_id,owner,file,mechanism,reviewed_line,trigger,reactive_reads,isolation,catch_behavior,generation_guard,failure_behavior,category,routing,callback_contract,reactive_consumer,restore_specific
R/session_save_restore/session_save_restore_orchestration.R::later::2,Session restore orchestrator,R/session_save_restore/session_save_restore_orchestration.R,later,3720,later event-loop timer,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
modules/Data Wizard/Annotation/datawizard_annotation_observer.R::debounce::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer.R,debounce,76,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/Annotation/datawizard_annotation_observer.R::debounce::2,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer.R,debounce,79,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,176,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::2,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,599,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::3,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,731,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::4,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,799,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::5,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,882,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::6,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,946,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R::on.exit finalizer::7,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_cache.R,on.exit finalizer,1009,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_general.R::tryCatch finally::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_general.R,tryCatch finally,744,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R::on.exit finalizer::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R,on.exit finalizer,89,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R::onFlushed::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R,onFlushed,412,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R::tryCatch finally::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R,tryCatch finally,416,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R::onFlushed::2,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R,onFlushed,593,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R::tryCatch finally::2,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_observer_mapping.R,tryCatch finally,597,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_utils_biomart_build.R::on.exit finalizer::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_utils_biomart_build.R,on.exit finalizer,128,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/Annotation/datawizard_annotation_utils_biomart_mapping.R::on.exit finalizer::1,Data Wizard / Annotation,modules/Data Wizard/Annotation/datawizard_annotation_utils_biomart_mapping.R,on.exit finalizer,171,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/assign rules/datawizard_assign_rules_handlers.R::invalidateLater::1,Data Wizard / assign rules,modules/Data Wizard/assign rules/datawizard_assign_rules_handlers.R,invalidateLater,142,timer invalidation armed by the enclosing reactive consumer,Direct: session/timer only; transitive: enclosing observe/render/reactive dependencies,Not isolated: intentionally invalidates its reactive consumer,Shiny reactive-domain handling; local tryCatch where shown,Consumer lifetime/token or restore guard in enclosing observer,Consumer stops polling or reports through its enclosing handler,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/auto assign/datawizard_auto_assign_handlers.R::onFlushed::1,Data Wizard / auto assign,modules/Data Wizard/auto assign/datawizard_auto_assign_handlers.R,onFlushed,784,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/auto assign/datawizard_auto_assign_rule_engine.R::on.exit finalizer::1,Data Wizard / auto assign,modules/Data Wizard/auto assign/datawizard_auto_assign_rule_engine.R,on.exit finalizer,364,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto assign/datawizard_auto_assign_template_pipeline.R::invalidateLater::1,Data Wizard / auto assign,modules/Data Wizard/auto assign/datawizard_auto_assign_template_pipeline.R,invalidateLater,429,timer invalidation armed by the enclosing reactive consumer,Direct: session/timer only; transitive: enclosing observe/render/reactive dependencies,Not isolated: intentionally invalidates its reactive consumer,Shiny reactive-domain handling; local tryCatch where shown,Consumer lifetime/token or restore guard in enclosing observer,Consumer stops polling or reports through its enclosing handler,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_redundancy.R::debounce::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_redundancy.R,debounce,105,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_redundancy.R::debounce::2,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_redundancy.R,debounce,192,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_render.R::cleanup registration::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_render.R,cleanup registration,461,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_run.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_run.R,on.exit finalizer,24,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_transfer.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_handlers_transfer.R,on.exit finalizer,172,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R,on.exit finalizer,6,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R::on.exit finalizer::2,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R,on.exit finalizer,242,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R::on.exit finalizer::3,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_infer_conditions.R,on.exit finalizer,426,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_infer_ratios.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_infer_ratios.R,on.exit finalizer,10,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/auto regex/datawizard_auto_regex_partition_recovery.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_partition_recovery.R,on.exit finalizer,545,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
